account_id,item_name,status,opened_quantity,spent,closed_quantity,received_post_tax,tax_paid,profit,opened_time,closed_time,updated_time,flip_hash
Ormeth,Zulrah's scales,FINISHED,30000,5760000,30000,5880000,90000,120000,2025-08-07T01:21:06Z,2025-08-07T02:12:55Z,2025-08-07T02:12:55Z,6a0be549fcd9af75d96ca95485263cb5df898286794e4f50d76673fd47a82b76
Ormeth,Sanguinesti staff (uncharged),FINISHED,1,31193141,1,31506043,642980,312902,2025-08-07T01:22:50Z,2025-08-07T02:12:55Z,2025-08-07T02:12:55Z,f99b7b8765c95dc1f521901a17b2f77295864c3fdc70a6d59699a7a4798e528c
Ormeth,Dharok's greataxe,FINISHED,2,3898314,2,3945796,80526,47482,2025-08-07T01:22:28Z,2025-08-07T01:59:54Z,2025-08-07T01:59:54Z,95cffd1fcb647ed95e56f6bffe279d7f7b358aee0f9da214f08229f6f6766331
Ormeth,Death rune,FINISHED,25000,3550000,25000,3600000,50000,50000,2025-08-07T01:22:39Z,2025-08-07T01:29:38Z,2025-08-07T01:29:38Z,1f7770abcb9a4752e03bdf32840522434829108cd6ca93d2e790d779f4702895
Ormeth,Coal,FINISHED,13000,2184000,13000,2236000,39000,52000,2025-08-07T01:20:15Z,2025-08-07T01:25:31Z,2025-08-07T01:25:31Z,5c0d547ec59334426821e8a238b9ddc09e7997a2e1c8f8448807b4d2f34f7cde
Ormeth,Chaos rune,FINISHED,18000,1206000,18000,1242000,18000,36000,2025-08-07T01:19:39Z,2025-08-07T01:22:12Z,2025-08-07T01:22:12Z,53b52a8ba11ad83ea5cbb00124297e16810cf56c12154d29c67b5933ba0a7173
Ormeth,Steel bar,FINISHED,7467,3666297,7467,3703632,74670,38880,2025-08-06T19:55:53Z,2025-08-06T21:03:10Z,2025-08-06T21:03:10Z,ac2d88add0f2174d3944514e11ead4fc7a626f658c83bd569958780910c0103b
Ormeth,Gold bar,FINISHED,10000,1220000,10000,1230000,20000,10000,2025-08-06T19:15:06Z,2025-08-06T20:20:36Z,2025-08-06T20:20:36Z,09c0427d7a5903a3e02f9795025c81bfc3e92f7c2236069ae6170e68f34bf454
Ormeth,Dragon crossbow,FINISHED,9,10088208,9,10212719,208417,124515,2025-08-06T19:55:53Z,2025-08-06T20:12:24Z,2025-08-06T20:12:24Z,79c31166691c104dfe11c1317be0e8cac4cce436bb84375d168e6f5062289676
Ormeth,Divine ranging potion(4),FINISHED,1978,18808802,1978,18947262,385710,138460,2025-08-06T18:45:23Z,2025-08-06T20:03:48Z,2025-08-06T20:03:48Z,f658bb9f21ccdbbb3c013c61f9681f5f112e5a1b27bda9fb06c76461dd034b82
Ormeth,Abyssal dagger (p++),FINISHED,2,5768970,2,5831370,119006,62400,2025-08-06T19:55:55Z,2025-08-06T20:02:18Z,2025-08-06T20:02:18Z,0fbf014be7681b5aeb3ca6beaffeadc1ba68a5bad2380900f5af756b0d4e7562
Ormeth,Ahrim's robeskirt,FINISHED,2,2913546,2,2955092,60306,41546,2025-08-06T19:39:52Z,2025-08-06T20:00:08Z,2025-08-06T20:00:08Z,0f32fb181aa480c69dc3039388bfffcd4446305f0aab4ca82eff3607bb784a1f
Ormeth,Zulrah's scales,FINISHED,28226,5447618,28226,5504070,84678,56452,2025-08-06T19:53:06Z,2025-08-06T19:58:17Z,2025-08-06T19:58:17Z,fb0dc1986a02d30c6c86da08398ef110db4e71446235ea17491e2348b968a2c9
Ormeth,Rune knife,FINISHED,1583,278608,1583,291272,4749,12664,2025-08-06T19:33:54Z,2025-08-06T19:53:58Z,2025-08-06T19:53:58Z,2d6409383786d069f21f04ecc2974faa3a2d1fa409ff47c6386ce043330a5b7a
Ormeth,Dragon pickaxe,FINISHED,1,1093509,1,1121831,22894,28322,2025-08-06T19:50:07Z,2025-08-06T19:52:29Z,2025-08-06T19:52:29Z,8e9941f73d0c2413d832813594a361810ef77e0ee081f53e0eb34a952e75bc97
Ormeth,Cannonball,FINISHED,2719,503015,2719,511172,8157,8157,2025-08-06T19:48:39Z,2025-08-06T19:52:25Z,2025-08-06T19:52:25Z,f5b3c5ab2e55b4786b3fa615489847a928e92179a639ab9469f7981d52b30668
Ormeth,Soul rune,FINISHED,4006,1626436,4006,1658484,32048,32048,2025-08-06T19:39:12Z,2025-08-06T19:46:38Z,2025-08-06T19:46:38Z,18aba8105cbdf0a0738f07e4440bb67a3740bafd8c904dea36fe0b7a99b18a07
Ormeth,Ankou top,FINISHED,1,22536070,1,22746202,464208,210132,2025-08-06T18:45:58Z,2025-08-06T19:46:18Z,2025-08-06T19:46:18Z,b6fa462973a353e8dab2b7afbc05e7ca00251da9e04e9ca55d19306c2c09d985
Ormeth,Coal,FINISHED,8266,1396954,8266,1421752,24798,24798,2025-08-06T19:30:55Z,2025-08-06T19:44:40Z,2025-08-06T19:44:40Z,1921bb856686f0303a5ef75d84673ce6c8036e5b67d9a59b38d667d8dde5828f
Ormeth,Looting bag note,FINISHED,19,707560,19,720233,14687,12673,2025-08-06T18:26:21Z,2025-08-06T19:39:04Z,2025-08-06T19:39:04Z,2373574f0ddc491ceeedeb7c2ee03eb66ef27b0ee0bc79c21142fcc74a1759f3
Ormeth,Zulrah's scales,FINISHED,1774,340608,1774,345930,5322,5322,2025-08-06T19:30:58Z,2025-08-06T19:38:34Z,2025-08-06T19:38:34Z,2d85d9eff150e6207b2a204246ca1359687de27f29ca8cc2287488994e66a9b7
Ormeth,Law rune,FINISHED,12832,1437184,12832,1475680,25664,38496,2025-08-06T18:42:59Z,2025-08-06T19:38:22Z,2025-08-06T19:38:22Z,205de56a297792f00a5dd4f3bb1c52010c09a3e4fefc0c9da67df9709579be5e
